epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4436.99,1.0436,1.61714,0.80782,0.01935,1.18287,0.77367,0.82608,0.86782,0.6624,0.77161,0.82344,0.86458,0.67206,0.89486,1.05357,0.54847,0.02124,0,0.000465948,0.000465948,0.000465948
29,4587.52,1.03354,1.59473,0.78919,0.01921,1.10056,0.8616,0.76316,0.87764,0.65622,0.8616,0.76316,0.87764,0.69239,0.90986,1.09375,0.56677,0.02273,0,0.000445393,0.000445393,0.000445393
30,4741.88,1.02068,1.60415,0.81305,0.01876,1.16515,0.90722,0.75797,0.88485,0.64511,0.90863,0.75909,0.88455,0.69828,1.02493,1.06438,0.58455,0.02696,0,0.000424725,0.000424725,0.000424725
31,4893.36,1.01197,1.59617,0.79176,0.01842,1.07765,0.85978,0.80983,0.87727,0.63396,0.85978,0.80983,0.87509,0.68953,1.02863,1.15124,0.59162,0.02675,0,0.000404,0.000404,0.000404
32,5043.47,1.00507,1.59352,0.79714,0.01828,1.09808,0.82636,0.83173,0.88275,0.64053,0.82542,0.83085,0.88125,0.70024,1.06845,0.98113,0.60065,0.02833,0,0.000383275,0.000383275,0.000383275
33,5192.63,0.98578,1.55491,0.77102,0.01831,1.05881,0.77597,0.82054,0.87612,0.66889,0.77602,0.81999,0.87467,0.68537,0.86328,1.14833,0.58381,0.02133,0,0.000362607,0.000362607,0.000362607
34,5330.81,0.97626,1.53102,0.71849,0.01799,1.05075,0.82173,0.78739,0.87032,0.64077,0.8291,0.79368,0.87613,0.69029,0.94742,1.06448,0.55481,0.02349,0,0.000342052,0.000342052,0.000342052
35,5465.19,0.97522,1.52602,0.70252,0.01794,0.97475,0.81586,0.78989,0.88154,0.68541,0.81586,0.78989,0.88087,0.68854,0.8294,1.11776,0.55815,0.01998,0,0.000321667,0.000321667,0.000321667
36,5604.14,0.9441,1.48107,0.66586,0.01734,1.03141,0.85863,0.80262,0.88406,0.65326,0.85646,0.80062,0.87955,0.69884,0.9527,1.02941,0.61978,0.02389,0,0.000301508,0.000301508,0.000301508
37,5745.07,0.95101,1.51854,0.7126,0.01687,0.94261,0.78037,0.85643,0.87848,0.6473,0.77861,0.85443,0.87699,0.70814,1.00272,1.05354,0.61308,0.02619,0,0.000281629,0.000281629,0.000281629
