epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11172.5,0.56892,0.70044,1.05208,0.78564,0.73076,0.85562,0.76949,0.42541,0.67179,0.93369,0.0005941,0.0005941,0.0005941
43,11371,0.55193,0.6816,1.04878,0.78473,0.78255,0.85313,0.76819,0.43516,0.68103,0.93512,0.0005842,0.0005842,0.0005842
44,11612.8,0.56379,0.67159,1.05255,0.82985,0.71372,0.83695,0.75041,0.43644,0.69052,0.94192,0.0005743,0.0005743,0.0005743
45,11809.5,0.54804,0.65359,1.04619,0.82138,0.70413,0.83705,0.74571,0.42573,0.67553,0.93003,0.0005644,0.0005644,0.0005644
46,12040.3,0.54671,0.6569,1.04638,0.79645,0.76501,0.85699,0.77416,0.42251,0.65616,0.93147,0.0005545,0.0005545,0.0005545
47,12235.4,0.54301,0.6708,1.04627,0.80882,0.75757,0.86509,0.7799,0.41145,0.67064,0.91964,0.0005446,0.0005446,0.0005446
48,12466,0.5501,0.65428,1.04489,0.77296,0.78596,0.85641,0.77213,0.42735,0.64821,0.92455,0.0005347,0.0005347,0.0005347
49,12661.7,0.55028,0.66113,1.04557,0.79364,0.7299,0.83002,0.74547,0.42248,0.65756,0.92955,0.0005248,0.0005248,0.0005248
50,12890.4,0.54555,0.65588,1.04168,0.78642,0.77137,0.8591,0.77795,0.40907,0.63448,0.915,0.0005149,0.0005149,0.0005149
51,13133.6,0.54197,0.65382,1.04116,0.80314,0.73551,0.84523,0.76947,0.42306,0.66255,0.93072,0.000505,0.000505,0.000505
52,13386.7,0.53464,0.62589,1.03732,0.78455,0.78288,0.85102,0.76619,0.41515,0.66035,0.92104,0.0004951,0.0004951,0.0004951
53,13605.4,0.52396,0.62704,1.03115,0.7929,0.80132,0.87021,0.79045,0.41928,0.64341,0.92323,0.0004852,0.0004852,0.0004852
54,13867.2,0.54255,0.64937,1.04138,0.76891,0.75937,0.84978,0.76285,0.42405,0.67322,0.92454,0.0004753,0.0004753,0.0004753
55,14110.5,0.53896,0.63674,1.04095,0.77252,0.77915,0.84943,0.75888,0.42103,0.68815,0.92664,0.0004654,0.0004654,0.0004654
56,14359.9,0.52474,0.60903,1.03689,0.76004,0.81169,0.86035,0.78111,0.41369,0.62579,0.9207,0.0004555,0.0004555,0.0004555
57,14585.1,0.52983,0.62283,1.03277,0.80897,0.75728,0.84817,0.76338,0.42273,0.70294,0.92497,0.0004456,0.0004456,0.0004456
58,14835.4,0.52824,0.63422,1.03486,0.7822,0.78259,0.8499,0.77003,0.41597,0.64312,0.91965,0.0004357,0.0004357,0.0004357
59,15037.1,0.5244,0.61458,1.02978,0.79426,0.78251,0.86076,0.77056,0.41931,0.6682,0.92214,0.0004258,0.0004258,0.0004258
60,15276,0.51287,0.58948,1.0279,0.75856,0.78246,0.83978,0.7631,0.41599,0.68801,0.91768,0.0004159,0.0004159,0.0004159
61,15500.5,0.5214,0.59357,1.03218,0.79795,0.77586,0.85998,0.78727,0.41116,0.65008,0.91654,0.000406,0.000406,0.000406
62,15677.4,0.53563,0.605,1.03538,0.74328,0.83713,0.85662,0.7804,0.41381,0.6594,0.91551,0.0003961,0.0003961,0.0003961
63,15878.1,0.52071,0.58962,1.03066,0.76948,0.78936,0.84976,0.77886,0.40698,0.66091,0.91372,0.0003862,0.0003862,0.0003862
64,16041.4,0.53611,0.59904,1.03552,0.79513,0.78125,0.8565,0.78087,0.415,0.64245,0.91874,0.0003763,0.0003763,0.0003763
65,16262,0.50418,0.59078,1.02374,0.77895,0.77123,0.84319,0.76527,0.40013,0.66268,0.91206,0.0003664,0.0003664,0.0003664
66,16525.6,0.49682,0.57555,1.02122,0.73341,0.78025,0.83586,0.76548,0.40653,0.70295,0.91623,0.0003565,0.0003565,0.0003565
67,16741.9,0.51088,0.58214,1.02383,0.74418,0.79684,0.85947,0.78099,0.40081,0.638,0.91204,0.0003466,0.0003466,0.0003466
68,16979,0.50325,0.5631,1.01631,0.74787,0.77332,0.83478,0.75879,0.39865,0.66807,0.9054,0.0003367,0.0003367,0.0003367
69,17204.7,0.51013,0.57189,1.02317,0.72637,0.82495,0.83189,0.7553,0.40582,0.69246,0.91266,0.0003268,0.0003268,0.0003268
70,17433.5,0.50332,0.55477,1.0214,0.77824,0.76617,0.83319,0.75636,0.40823,0.66428,0.91441,0.0003169,0.0003169,0.0003169
71,17651.7,0.49877,0.55437,1.01693,0.73705,0.82033,0.84157,0.76774,0.40022,0.65483,0.90733,0.000307,0.000307,0.000307
72,17905,0.49549,0.56366,1.01241,0.83866,0.73482,0.84889,0.77547,0.4011,0.67412,0.9092,0.0002971,0.0002971,0.0002971
73,18144,0.48174,0.53069,1.00825,0.81211,0.75846,0.85455,0.77434,0.39558,0.68587,0.90335,0.0002872,0.0002872,0.0002872
